origin_type	treatment_type	F_FW_rosette	F_FW_aboveground_tot	F_FW_root	F_DW_rosette	F_DW_aboveground_tot	F_DW_root	F_RGR_max	F_WC1	F_WC2	F_LMA	F_fvfm	F_PIabs	F_Zn_S	F_Cd_S	F_Pb_S	F_Mg_S	F_Ca_S	F_K_S	F_Na_S	F_Cu_S	F_Fe_S	F_P_S	F_Zn_R	F_Cd_R	F_Pb_R	F_Mg_R	F_Ca_R	F_K_R	F_Na_R	F_Cu_R	F_Fe_R	F_P_R	F_rosette_hight	F_stem_nr	F_max_stem_length	F_epid_up	F_mes	F_epid_low	F_whole_leaf	F_cuti_up	F_cuti_low	F_stom_size_up_la	F_stom_size_up_sa	F_stom_area_up	F_stom_size_low_la	F_stom_size_low_sa	F_stom_area_low	F_stom_dens_low	F_stom_dens_up	F_palisade_long	F_palisade_short	F_trich_dens_up	F_trich_dens_low	F_whole_leaf_added	F_epid_up_propa	F_mes_propa	F_epid_low_propa	F_protection	F_assim_protection_prop	F_epid_up_propb	F_mes_propb	F_epid_low_propb	F_palisade_index	F_pollen_n_alive	F_pollen_n_dead	F_pollen_n_degen	F_pollen_n_deaddegen	F_pollen_n_all	F_pollen_viability_perc	F_pollen_dead_perc	F_pollen_degen_perc	F_pollen_deaddegen_perc	F_pollen_diameter	genotype_M_PL22_101	genotype_M_PL22_102	genotype_M_PL22_103	genotype_M_PL22_104	genotype_M_PL22_105	genotype_M_PL22_106	genotype_M_PL22_107	genotype_M_PL22_108	genotype_M_PL22_109	genotype_M_PL27_101	genotype_M_PL27_102	genotype_M_PL27_103	genotype_M_PL27_104	genotype_M_PL27_105	genotype_M_PL27_106	genotype_M_PL27_107	genotype_M_PL27_108	genotype_M_PL27_109	genotype_M_PL27_110	genotype_NM_PL14_105	genotype_NM_PL14_111	genotype_NM_PL14_114	genotype_NM_PL14_118	genotype_NM_PL14_119	genotype_NM_PL14_121	genotype_NM_PL14_126	genotype_NM_PL14_127	genotype_NM_PL14_128	genotype_NM_PL14_130	genotype_NM_PL35_101	genotype_NM_PL35_103	genotype_NM_PL35_104	genotype_NM_PL35_105	genotype_NM_PL35_106	genotype_NM_PL35_107	genotype_NM_PL35_108	genotype_NM_PL35_109	genotype_NM_PL35_110	genotype_NM_PL35_111	origin_pop_M_PL22	origin_pop_M_PL27	origin_pop_NM_PL14	origin_pop_NM_PL35	treatment_pop_M_PL22	treatment_pop_M_PL27	treatment_pop_NM_PL14	treatment_pop_NM_PL35	comparison_3levels_far_allopatric	comparison_3levels_near_allopatric	comparison_3levels_sympatric
0	1	2.876	6.955	0.598	0.305	0.749	0.146	0.034008648	88.0	7.333	0.004158362	0.832	1.8303	8973.0	148.2	1.5	5213.0	19482.0	18227.0	151.0	9.1	2760.922	0.51	2865.0	200.7	4.5	1499.0	3965.0	13635.0	74.0	9.3	3254.3525	0.37	1.666666667	28.33333333	36.33333333	15.9750005	93.82	12.245	117.8250005	0.72	0.605	16.41249992	15.56000008	201.5875838	15.6883335	14.38249992	178.4888938	542.7170868	332.6330532	31.8549995	21.8099995	0.268688194	0.470204339	122.0400005	0.135582435	0.796265645	0.103925313	28.2200005	3.324592429	0.130899709	0.768764336	0.100335955	1.460568557	1137.0	19.0	9.0	28.0	1165.0	97.6	1.63	0.77	2.403433476	17.98166667	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	2.873	2.873	1.788	0.5104	0.5104	0.397	0.015450729	82.42574257	4.69	0.010291452	0.751333333	1.4073	2325.0	24.1	3.8	2297.0	8077.0	15643.0	47.0	4.3	2753.62	0.31	894.0	13.4	1.2	1199.0	5077.0	8306.0	80.0	3.9	1174.239	0.2	1.833333333	31.33333333	41.66666667	23.42	131.769997	15.05	163.705002	0.68	0.64	17.61833308	15.25083342	212.058386	17.06833342	14.3	192.0945556	472.6890756	210.0840336	45.5	26.8899995	0.604548436	0.940408678	170.239997	0.143062214	0.804923462	0.09193366	38.47	3.425266363	0.137570491	0.774024902	0.088404607	1.692078871	788.0	8.0	4.0	12.0	800.0	98.5	1.0	0.5	1.5	18.60833333	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0	0	0.486	17.568	2.173	0.105	0.369	0.7405	0.051602692	80.59701493	4.154	0.003375827	0.78675	2.6817	8282.0	358.8	333.4	10059.0	24661.0	24158.0	37.0	4.9	1808.658	0.22	1845.0	167.6	707.4	2835.0	4489.0	11377.0	20.0	3.7	247.5325	0.09	3.0	16.0	66.0	22.785001	139.300003	23.405001	175.720001	0.675	0.53	16.08166683	13.25666667	167.4903883	16.17083342	13.63583333	173.3833082	332.6330532	490.1960784	52.9699995	39.4	1.007580726	0.0	185.490005	0.12966652	0.79273846	0.13319486	46.190002	3.015804221	0.122836813	0.750983876	0.126179311	1.344416231	555.5	1.5	0.0	1.5	557.0	99.73	0.27	0.0	0.26929982	15.8625	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
0	1	1.73	2.577	1.184	0.218	0.721	0.266	0.033451578	88.16425121	7.449	0.004327107	0.830333333	2.6777	6338.0	101.5	3.2	3911.0	16374.0	21830.0	121.0	9.6	3017.664	0.54	2878.0	39.0	0.7	1384.0	3536.0	18524.0	36.0	8.1	906.782	0.53	2.5	30.5	22.0	19.6450005	112.3900035	11.605	141.010002	0.72	0.595	15.46916667	14.32083333	176.0405188	15.04583358	13.42	159.8142806	227.5910364	262.605042	29.915	23.4700005	0.873236629	0.604548436	143.640004	0.139316362	0.797035685	0.082299127	31.2500005	3.596480054	0.136765525	0.782442219	0.080792256	1.274605853	788.0	3.0	40.0	43.0	831.0	94.83	0.36	4.81	5.174488568	16.08166667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	9.124	15.655	5.404	1.5865	3.2131	1.1519	0.020471928	81.3253012	4.355	0.012541025	0.7745	0.8505	1062.0	12.4	1.7	2556.0	6780.0	28285.0	37.0	3.6	1293.221	0.34	694.0	8.3	1.3	1367.0	3583.0	8035.0	85.0	4.4	316.608	0.25	1.666666667	38.66666667	19.66666667	17.4349995	95.5	15.125	118.1150015	0.51	0.46	16.86583333	13.81416667	183.9747945	16.35416667	13.49083333	174.3525215	420.1680672	280.1120448	35.9050005	20.2300005	3.828806758	2.754053984	128.0599995	0.147610374	0.808534046	0.128053167	32.5599995	2.933046728	0.136147115	0.745744185	0.1181087	1.774839328	556.0	3.0	0.0	3.0	559.0	99.46	0.54	0.0	0.53667263	17.93666667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0	0	0.513	0.513	1.525	0.085	0.085	0.272	0.042512973	73.4375	2.765	0.002231362	0.784666667	2.23	10360.0	207.5	641.3	10712.0	24173.0	17474.0	37.0	5.3	4498.97	0.28	2276.0	147.7	1040.6	3538.0	5238.0	8024.0	28.0	6.2	601.0315	0.06	1.0	14.0	75.0	16.2300005	105.2849995	14.345	132.955002	0.58	0.545	17.7216665	14.595	202.7978084	17.52083342	13.64083333	188.0804379	315.1260504	332.6330532	34.5249995	27.759999	0.470204339	0.537376387	135.86	0.122071379	0.791884457	0.107893647	30.5750005	3.443499519	0.119461214	0.774952153	0.105586633	1.243695992	340.0	45.0	25.0	70.0	410.0	58.05	33.41	8.54	41.95121951	15.665	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
0	1	1.849	1.849	1.998	0.3347	0.3347	0.4334	0.025874031	72.97297297	2.7	0.010869315	0.802666667	2.071	929.0	11.0	3.2	1959.0	4210.0	13156.0	55.0	4.3	2602.657	0.42	1101.0	11.0	2.1	1550.0	5577.0	6597.0	77.0	4.6	659.101	0.22	4.666666667	38.0	25.66666667	16.105	89.5550005	12.915	114.18	0.57	0.49	17.16500033	14.45416675	195.3319248	16.79916667	14.12833325	188.886287	560.2240896	455.1820728	30.0549995	18.71	0.0	0.0	118.5750005	0.141049221	0.784331761	0.113110878	29.02	3.085975207	0.13582121	0.755260385	0.108918406	1.606360208	643.0	4.0	2.0	6.0	649.0	99.08	0.62	0.31	0.92449923	17.41833333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0	0	0.97	0.97	1.328	0.205	0.205	0.3262	0.01427835	78.38827839	3.627	0.015545926	0.8135	2.5875	10833.0	72.9	343.2	5440.0	19216.0	9153.0	37.0	10.1	4974.384	0.46	3059.0	85.8	241.7	2962.0	4750.0	9344.0	29.0	8.7	2505.75	0.26	1.0	0.666666667	11.33333333	27.9450005	154.989998	22.21	189.459999	0.58	0.555	16.87166683	14.415	190.9796639	17.00166667	15.4825	206.7975156	280.1120448	280.1120448	40.414999	25.549999	0.0	0.0	205.1449985	0.147498156	0.818061854	0.117227912	50.1550005	3.090220246	0.136220725	0.755514388	0.108264887	1.581800414	461.0	47.0	4.0	51.0	512.0	90.04	9.18	0.78	9.9609375	16.22833333	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
0	1	2.113	12.26	0.602	0.407	3.898	0.18	0.025671509	84.95297806	5.646	0.00245545	0.827333333	3.1467	4271.0	46.9	2.8	3106.0	13084.0	17891.0	83.0	5.7	2645.96	0.36	1959.0	38.4	1.1	1181.0	7227.0	12728.0	74.0	10.1	539.923	0.43	0.666666667	16.33333333	40.0	17.9499995	106.465	15.2049995	135.2999995	0.825	0.795	16.78333325	13.9025	183.5134242	16.5458335	14.295	185.991378	367.6470588	367.6470588	38.1900005	29.634999	0.0	0.0	139.619999	0.132668142	0.786881008	0.112379893	33.154999	3.21112964	0.12856324	0.762534026	0.108902733	1.288678987	566.0	87.0	19.0	106.0	672.0	84.23	12.95	2.83	15.77380952	16.41	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	1.302	2.984	3.622	0.2785	0.6589	0.7926	0.02246779	72.97297297	2.7	0.016135529	0.795666667	2.4587	1300.0	12.1	4.0	2495.0	5328.0	14524.0	66.0	3.5	4340.16	0.29	787.0	9.5	1.5	1674.0	3297.0	10080.0	94.0	3.7	1119.4065	0.24	0.666666667	36.0	36.33333333	19.3699995	100.2299995	13.395	125.7649995	0.685	0.53	18.27749992	14.97416658	216.3515552	17.98916692	15.08166675	216.1344581	525.210084	385.1540616	42.040001	24.780001	0.0	0.0	132.994999	0.15401741	0.796962588	0.10650817	32.7649995	3.059056952	0.14564457	0.753637357	0.100718073	1.696529431	403.0	90.0	2.0	92.0	495.0	81.41	18.18	0.4	18.58585859	16.52833333	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
